brand,model,repair_type,price
Apple,iPhone 4/4S,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,499kr
Apple,iPhone 5,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,499kr
Apple,iPhone 5C,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,499kr
Apple,iPhone 5S,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,499kr
Apple,iPhone SE,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,499kr
Apple,iPhone 6,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,599kr
Apple,iPhone 6 Plus,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,699kr
Apple,iPhone 6S,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,599kr
Apple,iPhone 6S Plus,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,699kr
Apple,iPhone 7,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,799kr
Apple,iPhone 7 Plus,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,899kr
Apple,iPhone 8/se20,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,899kr
Apple,iPhone 8 Plus,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,999kr
Apple,iPhone SE 2022,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,1199kr
Apple,iPhone X,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,1299kr
Apple,iPhone XR,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,1399kr
Apple,iPhone XS,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,1399kr
Apple,iPhone XS Max,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,1699kr
Apple,iPhone 11,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,1599kr
Apple,iPhone 11 Pro,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,1699kr
Apple,iPhone 12 mini,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,1999kr
Apple,iPhone 12/iPhone 12 pro 2099kr,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,1999kr/2999kr
Apple,iPhone 12 pro max,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,2299kr
Apple,iPhone 13 mini,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,2199kr
Apple,iPhone 13,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,2599kr
Apple,iPhone 13 pro,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,3199kr
Apple,iPhone 13 pro max,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,4099kr
Apple,iPhone 14,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,3099kr
Apple,iPhone 14 pluss,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,3399kr
Apple,iPhone 14 pro,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,4599kr
Apple,iPhone 14 pro max,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,5399kr
Apple,iPhone 15,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,3999kr
Apple,iPhone 15 pluss,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,4399kr
Apple,iPhone 15 pro,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,5999kr
Apple,iPhone 15 pro max,iPhone Skjermbytte - OEM Skjerm Bakglass/ Back glass med ramme,6999kr
Apple,iPhone 4/4S,iPhone Batteri,299kr
Apple,iPhone 5,iPhone Batteri,299kr
Apple,iPhone 5C,iPhone Batteri,299kr
Apple,iPhone 5S,iPhone Batteri,499kr
Apple,iPhone SE,iPhone Batteri,499kr
Apple,iPhone 6,iPhone Batteri,599kr
Apple,iPhone 6 Plus,iPhone Batteri,599kr
Apple,iPhone 6S,iPhone Batteri,599kr
Apple,iPhone 6S Plus,iPhone Batteri,599kr
Apple,iPhone 7,iPhone Batteri,599kr
Apple,iPhone 7 Plus,iPhone Batteri,599kr
Apple,iPhone 8,iPhone Batteri,599kr
Apple,iPhone 8 Plus,iPhone Batteri,599kr
Apple,iPhone SE 2020,iPhone Batteri,599kr
Apple,iPhone X,iPhone Batteri,899kr
Apple,iPhone XR,iPhone Batteri,899kr
Apple,iPhone XS,iPhone Batteri,899kr
Apple,iPhone XS Max,iPhone Batteri,999kr
Apple,iPhone 11,iPhone Batteri,999kr
Apple,iPhone 11 Pro,iPhone Batteri,1099kr
Apple,iPhone 12 mini,iPhone Batteri,1499kr
Apple,iPhone 12/12 pro,iPhone Batteri,1499kr
Apple,iPhone 13,iPhone Batteri,1599kr
Apple,iPhone 13 pro,iPhone Batteri,1899kr
Apple,iPhone 4 Serie,iPhone Lyd & Lading - Mikrofon Høytaler Ladeport,99kr
Apple,iPhone 5 Serie,iPhone Lyd & Lading - Mikrofon Høytaler Ladeport,399kr
Apple,iPhone 6 Serie,iPhone Lyd & Lading - Mikrofon Høytaler Ladeport,499kr
Apple,iPhone 7 Serie,iPhone Lyd & Lading - Mikrofon Høytaler Ladeport,599kr
Apple,iPhone 8 Serie,iPhone Lyd & Lading - Mikrofon Høytaler Ladeport,799kr
Apple,iPhone X Serie,iPhone Lyd & Lading - Mikrofon Høytaler Ladeport,899kr
Apple,iPhone 11 Serie,iPhone Lyd & Lading - Mikrofon Høytaler Ladeport,999kr
Apple,iPhone 12 /12pro,iPhone Lyd & Lading - Mikrofon Høytaler Ladeport,1199kr
Apple,iPhone 12 pro max 2499kr,iPhone Lyd & Lading - Mikrofon Høytaler Ladeport,2499kr
Apple,iPhone 13/13pro,iPhone Lyd & Lading - Mikrofon Høytaler Ladeport,2999kr
Apple,iPhone 13 pro max 3199kr,iPhone Lyd & Lading - Mikrofon Høytaler Ladeport,3199kr
Apple,iPhone 4 Serie    199kr,iPhone Kamera - Front Kamera Bak kamera Ramme,199kr
Apple,iPhone 4 Serie    199kr,iPhone Kamera - Lense/Kamera Glas,499kr
Apple,iPhone 5 Serie    199kr,iPhone Kamera - Front Kamera Bak kamera Ramme,299kr
Apple,iPhone 5 Serie    199kr,iPhone Kamera - Lense/Kamera Glas,699kr
Apple,iPhone 6 Serie    399kr,iPhone Kamera - Front Kamera Bak kamera Ramme,499kr
Apple,iPhone 6 Serie    399kr,iPhone Kamera - Lense/Kamera Glas,799kr
Apple,iPhone 7 Serie    399kr,iPhone Kamera - Front Kamera Bak kamera Ramme,799kr
Apple,iPhone 7 Serie    399kr,iPhone Kamera - Lense/Kamera Glas,899kr
Apple,iPhone 999kr,iPhone Kamera - Front Kamera Bak kamera Ramme,899kr
Apple,"iPhone iPad 5 A1822, A1823",iPhone Kamera - Front Kamera Bak kamera Ramme,1599kr
Apple,"iPhone iPad 5 A1822, A1823",iPhone Kamera - Lense/Kamera Glas,999kr
Apple,"iPhone iPad 6 A1893, A1954",iPhone Kamera - Front Kamera Bak kamera Ramme,1699kr
Apple,"iPhone iPad 6 A1893, A1954",iPhone Kamera - Lense/Kamera Glas,999kr
